epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,717.905,0.50492,0.33358,0.89418,0.99069,0.98073,0.989,0.88138,0.45754,0.27906,0.88982,0.000363075,0.000363075,0.000363075
70,728.233,0.5037,0.34095,0.91313,0.99058,0.98704,0.989,0.89206,0.45431,0.28268,0.88725,0.000352076,0.000352076,0.000352076
71,738.454,0.49835,0.32791,0.8943,0.99265,0.98719,0.989,0.89899,0.44304,0.26915,0.88566,0.000341077,0.000341077,0.000341077
72,748.741,0.50368,0.33398,0.91075,0.99405,0.9931,0.989,0.89551,0.44506,0.26758,0.88721,0.000330078,0.000330078,0.000330078
73,758.236,0.49391,0.31091,0.90451,0.99102,0.9872,0.989,0.89185,0.44602,0.26709,0.88771,0.000319079,0.000319079,0.000319079
74,768.442,0.47865,0.31268,0.89799,0.99118,0.98641,0.98863,0.89725,0.44283,0.2682,0.88594,0.00030808,0.00030808,0.00030808
75,778.648,0.52546,0.34094,0.92425,0.9836,0.97869,0.98822,0.89091,0.45384,0.27929,0.88805,0.000297081,0.000297081,0.000297081
76,788.848,0.47107,0.31977,0.89685,0.99097,0.9931,0.989,0.89205,0.44096,0.2585,0.88679,0.000286083,0.000286083,0.000286083
77,799.177,0.47004,0.31108,0.90291,0.99097,0.98634,0.989,0.89138,0.44902,0.2651,0.89007,0.000275084,0.000275084,0.000275084
78,809.481,0.46404,0.30733,0.88829,0.98884,0.98676,0.987,0.89714,0.44018,0.26884,0.89185,0.000264085,0.000264085,0.000264085
79,820.718,0.45701,0.30376,0.87945,0.97987,0.98754,0.98863,0.89548,0.44844,0.28048,0.89052,0.000253086,0.000253086,0.000253086
80,832.063,0.46565,0.29233,0.87924,0.98241,0.9791,0.9805,0.87847,0.44856,0.2766,0.88529,0.000242087,0.000242087,0.000242087
81,843.356,0.4984,0.31114,0.89166,0.98379,0.97946,0.98206,0.88051,0.44903,0.27825,0.88693,0.000231088,0.000231088,0.000231088
